X;Y;id_local;reseau_loc;nom_loc;id_osm;num_iti;code_com_d;ame_d;regime_d;sens_d;largeur_d;local_d;statut_d;revet_d;code_com_g;ame_g;regime_g;sens_g;largeur_g;local_g;statut_g;revet_g;access_ame;date_maj;trafic_vit;lumiere;d_service;comm;source;project_c;ref_geo
5.72469078888966;45.1726806632149;;;;way/1112480614;;"38185";BANDE CYCLABLE;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";AUCUN;EN AGGLOMERATION;;;;EN SERVICE;LISSE;;2022-11-12;"50";true;;;OpenStreetMap;WGS84;
5.7247215998567;45.173227796177;;;;way/40115817;;"38185";COULOIR BUS+VELO;;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";AUCUN;;;;CHAUSSEE;EN SERVICE;LISSE;;2021-11-10;;true;;;OpenStreetMap;WGS84;
5.72272211601279;45.172192880293;D 269E;;;way/1115688234;;"38185";BANDE CYCLABLE;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";BANDE CYCLABLE;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;ROLLER;2023-11-15;"50";true;;;OpenStreetMap;WGS84;
5.72344872613496;45.1704171272012;;;;way/188194438;;"38185";COULOIR BUS+VELO;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";AUCUN;EN AGGLOMERATION;;;;EN SERVICE;LISSE;;2022-11-12;"50";true;;;OpenStreetMap;WGS84;
5.72434795;45.1717383004542;D 269E;;;way/228160069;;"38185";AUTRE;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";AUTRE;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;ROLLER;2024-06-04;"50";true;;;OpenStreetMap;WGS84;
5.74704299306277;45.1781738191546;;;;way/194091766;;"38185";PISTE CYCLABLE;;UNIDIRECTIONNEL;;TROTTOIR;EN SERVICE;LISSE;"38185";AUCUN;;;;;EN SERVICE;LISSE;;2025-01-11;;true;;;OpenStreetMap;WGS84;
5.7483924487608;45.1782167904127;;;;way/1352106677;;"38185";BANDE CYCLABLE;ZONE 30;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";BANDE CYCLABLE;ZONE 30;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;ROLLER;2025-01-17;"30";true;;;OpenStreetMap;WGS84;
5.74933570799001;45.1783731819795;;;;way/1352106678;;"38185";AUTRE;ZONE 30;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";AUTRE;ZONE 30;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;ROLLER;2025-01-17;"30";true;;;OpenStreetMap;WGS84;
5.74951765;45.178455200463;;;;way/1352106679;;"38185";AUTRE;ZONE 30;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";AUTRE;ZONE 30;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;ROLLER;2025-01-17;"30";true;;;OpenStreetMap;WGS84;
5.75202028408051;45.1770485187838;D 269B;;;way/1348998198;;"38185";BANDE CYCLABLE;ZONE 30;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";BANDE CYCLABLE;ZONE 30;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;;2025-01-17;"30";true;;;OpenStreetMap;WGS84;
5.75159501829538;45.1780641527587;D 269B;;;way/485843231;;"38185";BANDE CYCLABLE;ZONE 30;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";BANDE CYCLABLE;ZONE 30;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;;2025-01-17;"30";true;;;OpenStreetMap;WGS84;
5.75084742308761;45.1793351015837;D 269B;;;way/989376774;;"38185";AUTRE;ZONE 30;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";BANDE CYCLABLE;ZONE 30;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;;2024-07-31;"30";true;;;OpenStreetMap;WGS84;
5.749783;45.1758801004889;;;;way/59510086;;"38185";VOIE VERTE;;BIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";AUCUN;;;;;EN SERVICE;LISSE;;2024-03-14;;;;;OpenStreetMap;WGS84;
5.74956176198922;45.175819173799;;;;way/4015311;;"38185";AUTRE;EN AGGLOMERATION;UNIDIRECTIONNEL;;CHAUSSEE;EN SERVICE;LISSE;"38185";AUCUN;EN AGGLOMERATION;;;CHAUSSEE;EN SERVICE;LISSE;;2024-08-27;"30";;;;OpenStreetMap;WGS84;
5.74652596225472;45.1878075176601;;;;way/825126734;;"38185";VOIE VERTE;AIRE PIETONNE;UNIDIRECTIONNEL;;TROTTOIR;EN SERVICE;LISSE;"38185";AUCUN;;;;;EN SERVICE;LISSE;;2024-09-30;;true;;;OpenStreetMap;WGS84;
